,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick
2136,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,193416,-0.060535430908203125,FS20B,S,1350159952.787089
2137,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,79517,0.8374483585357666,G25B,P,1350159958.885
2138,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,155619,-0.4832303524017334,KHBB,P,1350159935.75
2139,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,288145,0.5543036460876465,KHBB,S,1350159946.63
2140,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,284015,-0.6984937191009521,KHMB,S,1350159947.81
2141,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,154028,0.03654289245605469,KMPB,P,1350159930.72
2142,173,2012-10-13 20:25:22.067794+00:00,146.78401635410802,-272.4172167569442,0.390625,9,40.03433599332784,-123.78027737132862,0.390625,173,287122,0.23074722290039062,KMPB,S,1350159936.9
2143,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,95236,1.0219895839691162,I02D,P,1350160146.425
2144,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,226112,-0.6871445178985596,I02D,S,1350160154.3
2145,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,118370,0.467254638671875,J33B,P,1350160146.0034
2146,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,253863,-0.6320152282714844,J33B,S,1350160154.5794
2147,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,128710,0.12999677658081055,M09B,P,1350160135.1202
2148,174,2012-10-13 20:28:51.602309+00:00,52.87608658289193,207.08597586015458,0.390625,6,44.3620147775066,-124.83670205324117,0.390625,174,269190,-0.3000810146331787,M09B,S,1350160137.0402
