station,phase,C,n_obs
7D.FS09D,P,-0.4740475777734816,2514
7D.FS09D,S,-1.0070942354570527,5461
7D.FS10B,P,-1.0495779425732885,317
7D.FS10B,S,-0.8570433481082003,890
7D.FS10D,P,1.0123855609787797,2297
7D.FS10D,S,-0.7163647632272533,4460
7D.FS11B,P,-0.3452858145057907,427
7D.FS11B,S,-0.5646368091514568,622
7D.FS11D,P,-0.8736951154735817,338
7D.FS11D,S,-0.9838743055151917,849
7D.FS12B,P,-0.8594027110939939,228
7D.FS12B,S,-0.8477677044146674,115
7D.FS12D,P,-1.1937596150693932,418
7D.FS12D,S,-0.4122834648882147,420
7D.FS13B,P,-0.5609131890799616,1108
7D.FS13B,S,-0.3699006122902132,1999
7D.FS13D,P,-0.49688403668340314,3011
7D.FS13D,S,-0.9625641865475297,5515
7D.FS14B,P,-0.6695812206738367,351
7D.FS14B,S,-1.0162646237941328,386
7D.FS14D,P,-0.4394633168638905,455
7D.FS14D,S,-0.8232696347822595,518
7D.FS15B,P,-0.7334807375743174,46
7D.FS15B,S,-0.9805792789960915,31
7D.FS16B,P,-0.6642856785491392,453
7D.FS16B,S,-0.6928212582132723,1357
7D.FS16D,P,-0.8002414898683956,964
7D.FS16D,S,-1.0676709449311257,3418
7D.FS17B,P,-0.6851209519825282,497
7D.FS17B,S,-1.018994048161572,601
7D.FS17D,P,-1.0390300665596075,684
7D.FS17D,S,-0.6756658947232161,973
7D.FS18B,P,-0.8916108015361521,258
7D.FS18B,S,-1.1161219244765523,289
7D.FS19B,P,-1.0144493419081926,263
7D.FS19B,S,-0.43340782025810676,517
7D.FS20B,P,-0.6416561429385975,1072
7D.FS20B,S,-0.8250942787265372,2249
7D.FS41D,P,-1.0224355572667265,444
7D.FS41D,S,-1.0379366406973733,1902
7D.FS42D,P,-0.9952361536414674,523
7D.FS42D,S,-0.9381030491210136,1066
7D.FS43D,P,-0.41584346433481345,608
7D.FS43D,S,-0.7842136223732936,1281
7D.FS44D,P,-0.5285999105902907,778
7D.FS44D,S,-0.5171499703582478,2045
7D.FS45D,P,0.15607143095433862,532
7D.FS45D,S,-0.0412965955092546,1542
7D.G02B,P,-0.592342402524546,1391
7D.G02B,S,-0.6161915562055228,1962
7D.G02D,P,-0.6880065202195375,336
7D.G02D,S,-0.3276950121751705,1127
7D.G03A,P,-0.35508511758215733,143
7D.G03A,S,-0.6428947271252834,261
7D.G03B,P,0.8814438490628269,307
7D.G03B,S,-0.9195106536116742,1148
7D.G03D,P,-0.5150518957692429,426
7D.G03D,S,-1.1160627123208626,858
7D.G04B,P,-0.6767758271562943,115
7D.G04B,S,-0.9951313706143826,342
7D.G04D,P,0.05992204651418522,1102
7D.G04D,S,-0.1496587650441353,1794
7D.G09B,P,-0.6492883280678675,110
7D.G09B,S,-0.5668051502978689,133
7D.G09D,P,-0.7787904295069329,1163
7D.G09D,S,-0.7064839824191934,2325
7D.G10B,P,-1.035600209932856,1937
7D.G10B,S,-0.613001407448374,2396
7D.G10D,P,0.12470738463553874,3119
7D.G10D,S,-0.7197034116103441,4704
7D.G11B,P,-0.8938558423933411,1635
7D.G11B,S,-0.6360086879626787,2128
7D.G17B,P,-0.7364742039560073,449
7D.G17B,S,-1.050332559116514,788
7D.G17D,P,-0.6784040945534825,14
7D.G17D,S,-1.0391989864968496,12
7D.G18B,P,-0.8640203200639855,420
7D.G18B,S,-0.8417315538157495,976
7D.G18D,P,-0.76673123964694,873
7D.G18D,S,-0.7678150212475882,2605
7D.G19B,P,-0.3702141887331371,1824
7D.G19B,S,-0.3814170194505505,2344
7D.G19D,P,-0.5955999920749009,1120
7D.G19D,S,-0.46047006284168185,3092
7D.G20B,P,0.2867227470975831,1356
7D.G20B,S,-0.7171870311577847,1895
7D.G20D,P,0.7749025382580458,2710
7D.G20D,S,-0.6598983501501191,3390
7D.G25B,P,-0.3136875600937768,358
7D.G25B,S,-0.6491808550318937,456
7D.G26B,P,0.19576322301879903,187
7D.G26B,S,-1.1370120265665027,334
7D.G26D,P,0.40521151764209085,616
7D.G26D,S,-0.6997848362425888,1352
7D.G27B,P,-0.8296466926702516,949
7D.G27B,S,-0.8375463720489732,1172
7D.G28B,P,-0.3935952094508673,884
7D.G28B,S,-0.8016337294885291,1065
7D.G33D,P,0.3664137888886162,191
7D.G33D,S,-1.0477560396805083,314
7D.G34B,P,-0.40423963074186214,139
7D.G34B,S,-0.44062814352020674,376
7D.G34D,P,0.5590049560516527,372
7D.G34D,S,-0.4025438023265149,816
7D.G35B,P,-0.10423977736974871,463
7D.G35B,S,-0.622605301438383,632
7D.G35D,P,-0.8632041397613963,1229
7D.G35D,S,-0.5435733096827053,1379
7D.G36B2,P,-0.6482186810549417,989
7D.G36B2,S,-0.3319619584206339,1087
7D.G36D,P,-0.5843342015022669,1143
7D.G36D,S,1.4909602266855293,1494
7D.J09B,P,0.38572314646392125,132
7D.J09B,S,-1.3252075236142038,95
7D.J09D,P,-1.0151319127099492,649
7D.J09D,S,-0.3496972571719549,981
7D.J10B,P,0.8957699064068755,254
7D.J10B,S,-0.6783487892610248,527
7D.J10D,P,1.2894978060563096,433
7D.J10D,S,-0.48489561665048797,734
7D.J11B,P,-0.8424587376534107,798
7D.J11B,S,-0.786701955347219,809
7D.J11D,P,-0.849521482574984,634
7D.J11D,S,-0.8766431700406485,692
7D.J17B,P,-0.1731040782871151,112
7D.J17B,S,0.24207821665992102,90
7D.J17D,P,-0.8197040644879174,653
7D.J17D,S,-0.995605352412984,997
7D.J18B,P,-0.847332492641062,233
7D.J18B,S,-0.6063478741197085,196
7D.J18D,P,0.6533353946288794,280
7D.J18D,S,-0.05848857952608114,458
7D.J19B,P,-0.6159279765301614,493
7D.J19B,S,-0.882149292944286,627
